,non-AL TF ML vs. AL TF ML,AL TF ML vs. DeepSCAMs,non-AL TF ML vs. DeepSCAMs,metric
0,0.0078125,0.0078125,0.9453125,AUC_LB_test
1,0.0078125,0.0078125,1.0,AUC_test
2,0.0078125,0.0078125,0.84375,AUC_UB_test
3,0.0078125,0.0078125,0.3828125,Accuracy_test
4,0.0078125,0.0078125,0.1953125,F1_test
5,0.0078125,0.0078125,0.546875,MCC_test
6,0.0078125,0.0078125,0.0078125,AUC_LB_validation
7,0.0078125,0.0078125,0.0078125,AUC_validation
8,0.0078125,0.0078125,0.0078125,AUC_UB_validation
9,0.0078125,0.0078125,0.0078125,Accuracy_validation
10,0.0078125,0.0078125,0.0078125,F1_validation
11,0.0078125,0.0078125,0.0078125,MCC_validation
